nome,prob_fem
giovana,0.9945398978793187
severina,0.9953097536445752
lara,0.9965600437298551
cleide,0.9917178231318098
nicole,0.9921941446634788
cecilia,0.9974257634190455
yasmin,0.9955396539155124
conceicao,0.9852384702560458
ingrid,0.9954545013063453
selma,0.9975772732601305
leila,0.9979151576845526
raiane,0.9945794942168202
ester,0.9939428958536731
regiane,0.9959308450209654
marisa,0.9973082519226772
eunice,0.9967694199545635
kelly,0.9954056910824359
tainara,0.9954488732290978
iara,0.9967379944472009
joelma,0.995941152031022
marinalva,0.9970948551165796
teresinha,0.9978741083665167
rebeca,0.9958140440444772
geralda,0.9941920943134536
cleonice,0.9965967350613136
alexandra,0.9879956227132546
mara,0.9967723070694348
jenifer,0.9898637699623384
elizangela,0.9974417346616778
liliane,0.9972256508396653
lidia,0.9973260517341008
iracema,0.997821770945601
lidiane,0.9970077043015684
iraci,0.9561022884958481
marilia,0.996896694404855
sheila,0.9974234282331913
ines,0.9969153833570911
naiara,0.99650766211923
poliana,0.996274481975589
dalva,0.9960627572630197
lurdes,0.9967209975826332
teresa,0.9975615029790506
zilda,0.9974980453479281
lucilene,0.9974593312381846
clara,0.9962621780650139
rosane,0.997282443859415
ivonete,0.9971259468543732
luciane,0.996454814215091
isadora,0.99704942217851
nilza,0.998044466587781
paloma,0.9954532287114123
carmem,0.996705148838565
suelen,0.99590226327007
rosimeire,0.9972437729685586
cleusa,0.9979659425769943
vanda,0.9974540754377031
ilda,0.9974661059010997
jane,0.9799599198396793
eliene,0.9951134288754319
mayara,0.9962038973320724
diana,0.9964908535364991
sofia,0.9963144963144963
ariane,0.9956300170765486
suzana,0.9974169641891161
mariane,0.9953256508288189
clarice,0.9969717956029929
daiana,0.9967568304149349
edilene,0.9955285230239405
miriam,0.9966775537785787
elisabete,0.9975872835651434
eliete,0.9961097780869763
karine,0.9961877463274812
jussara,0.9976895243907755
izabel,0.9971650795958421
odete,0.9924048064240263
karen,0.9955351931831447
luisa,0.9954478472110769
cassia,0.9959352586854391
alana,0.99470393527032
monique,0.9952944994320948
catia,0.9975745026991052
lucimar,0.8309336904894775
deise,0.9956691917312815
isabele,0.9961266973739308
keila,0.9967129949269055
evelin,0.9910877445253288
andreza,0.9963121382041322
adriele,0.9936722242358342
joseane,0.9908429066581906
lourdes,0.9970168073687934
yasmim,0.9954016271165588
alzira,0.9967384213959556
carina,0.9961922744079931
erika,0.9959155888359428
gislaine,0.9964496099347238
emily,0.9951502304443481
jamile,0.9942644152756133
claudete,0.9947049072151675
catarina,0.9966701689161884
gessica,0.9951548964909704
manuela,0.9947085626561709
telma,0.9973969559306297
elen,0.9925606308585032
arlete,0.9956737434646801
geni,0.9852451686621293
heloisa,0.9974350753446618
elizete,0.9960226118746192
valdirene,0.992789598108747
valquiria,0.9970299214202067
eloisa,0.9968317236445399
nadir,0.8881385469992376
juliane,0.9953063930764936
zelia,0.9978455070940621
jandira,0.9971183075328144
dirce,0.9939174028887954
emili,0.9935525807245001
carmen,0.9969613991696846
fabiola,0.995568893988878
amelia,0.99729931416794
rejane,0.9953182358261363
estefani,0.989661936487179
maira,0.9954299736823388
anna,0.9967091657825172
elisa,0.9969015984107022
rute,0.9958175807718298
elizabeth,0.9980406877735255
luzinete,0.9972539543057997
iolanda,0.997023317347445
pricila,0.9962804058408676
rosalina,0.9970584907794999
madalena,0.9964581320908384
leidiane,0.9962831655992681
roseane,0.9971284721557516
maisa,0.9957809143909174
olga,0.9966975154563957
camile,0.9951153846153846
emilia,0.9974291568407624
fabiane,0.9951682418198334
nadia,0.9971169205594732
marilda,0.99760168275374
edite,0.9956472071220358
vivian,0.9964002452580154
paola,0.9952139862352662
nathalia,0.9962680609882654
cleuza,0.9977602239776022
lucimara,0.9969909125559189
tamara,0.9961649283714135
glaucia,0.9967265111928919
ligia,0.9977764177886577
nubia,0.9970208744247205
noemia,0.9973819830962688
margarete,0.9974631852493503
damiana,0.9964097061736547
rose,0.9927240497980048
salete,0.9975111479829929
celina,0.9973819269848526
nayara,0.9963947066791706
rosiane,0.9967474250448272
ivete,0.9972388403129314
sirlei,0.9348221343873517
lucineia,0.997719690891432
graziele,0.995972955215023
angelina,0.9967096126316689
gloria,0.9965151579937572
iris,0.9274110058134905
norma,0.9970013708019191
elenice,0.9971196423197627
hilda,0.9975863629506713
rosilda,0.997732034473076
iasmin,0.9948421347950882
adriane,0.9906318645819874
maristela,0.9976889045407523
lucineide,0.997202766397956
sirlene,0.9977041435793285
silmara,0.9968325691629566
ruth,0.9959167369402157
mariza,0.9975105025672942
victoria,0.9934371523915462
silvania,0.9971587731269156
valdete,0.8892698183567905
nilda,0.9975705769879654
ellen,0.9949707945242552
andresa,0.9952799146753807
melissa,0.9967418546365915
creuza,0.9978602981778023
jeane,0.9894048847609219
lindalva,0.9976778747910088
rosineide,0.9968843730382013
jacira,0.9970421091857649
ivani,0.9519039884497383
danieli,0.9875594498980859
iasmim,0.9939106422148268
joyce,0.9939770419008929
edina,0.9952565045181795
gabrieli,0.9782979818058511
josilene,0.993786296393662
alaide,0.9799414071728961
judite,0.9966761404691941
marinete,0.9968244733716336
divina,0.9971105283605284
